candidate,C,gamma,epsilon,mse,mae,rmse,bias,damaged_mae,zero_mae,low_mae,medium_mae,high_mae,high_bias,high_abs_bias,high_underestimation,n_zero,n_low,n_medium,n_high
12,100.0,0.003,0.04,0.0016561890440850316,0.027410597975349987,0.04069630258494046,0.007146522740496974,0.039440649697124464,0.022336310756212886,0.027163411763886675,0.031208130921860772,0.04903655695260416,-0.03984904986723095,0.03984904986723095,0.7902621722846442,1266,90,177,267
60,750.0,0.01,0.04,0.0016607312621046435,0.025937576783399755,0.040752070648062085,0.009338609490247968,0.03518290270678573,0.022037889545573446,0.027521832394494655,0.02850506519926158,0.042192167002433556,-0.027102828609016354,0.027102828609016354,0.7191011235955056,1266,90,177,267
62,1000.0,0.0005,0.03,0.001661545662985351,0.02665136130272328,0.04076206156446643,0.0034002985035065975,0.04376216081949744,0.01943400984778062,0.02531357129854412,0.03656297120910919,0.054753282984008764,-0.04465825992739522,0.04465825992739522,0.7827715355805244,1266,90,177,267
35,500.0,0.00075,0.03,0.001664812938658628,0.026609670026585194,0.04080211929126511,0.0033694778588677565,0.0436085153782967,0.01943954094458366,0.025194728656887187,0.03615678330319807,0.0547553220532754,-0.04530186917326093,0.04530186917326093,0.8014981273408239,1266,90,177,267
75,1000.0,0.01,0.04,0.0016682853848083313,0.025985199400543016,0.04084464940244109,0.009451724424319805,0.035092812262875736,0.022143599662402674,0.027847606514797046,0.028383032801976342,0.041983072494734444,-0.02678420458960029,0.02678420458960029,0.7228464419475655,1266,90,177,267
30,300.0,0.01,0.04,0.0016750896335943006,0.026222344549022173,0.040927858893354055,0.009525466219106405,0.03553421490349103,0.022294588807089812,0.02708974750600764,0.028598864965505056,0.042978256119959285,-0.027527272428494516,0.027527272428494516,0.7078651685393258,1266,90,177,267
23,300.0,0.001,0.03,0.0016807185870343427,0.026710452168814767,0.04099656799092264,0.0033680985414385636,0.043569662501373604,0.01959922127024729,0.02494171581100628,0.035970943719549446,0.054886098555740406,-0.04615058456889411,0.04615058456889411,0.8052434456928839,1266,90,177,267
15,100.0,0.01,0.04,0.0017032639055465483,0.026718654042706395,0.04127061794481091,0.009197960427177463,0.03635746637714704,0.02265299386372432,0.026963059249226297,0.029723339173683968,0.043922025015820564,-0.030506213303457905,0.030506213303457905,0.7228464419475655,1266,90,177,267
46,750.0,0.0005,0.02,0.00173447486261989,0.02606222988985018,0.04164702705620042,0.0007702268941625689,0.04684955598919006,0.01729411603752199,0.026332303315811434,0.03921794892803203,0.05882463909941122,-0.04898405817778723,0.04898405817778723,0.7940074906367042,1266,90,177,267
63,1000.0,0.0005,0.04,0.0017388728313283942,0.0283545897729831,0.041699794140120094,0.0057311895634460245,0.04293133969669496,0.022206102838336864,0.025489089418373516,0.03468899035749824,0.05427477924009101,-0.0443062234582199,0.0443062234582199,0.7827715355805244,1266,90,177,267
