seed,model,candidate,alpha,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
4,rbf_svr,rbf_svr_C_300_gamma_0p0005_eps_0.04,,300.0,0.0005,0.04,0.0035823385578434507,0.04075446680563661,0.4917338749510236,0.4064285714285714,False
4,rbf_svr,rbf_svr_C_300_gamma_0p00075_eps_0.02,,300.0,0.00075,0.02,0.003313896100043248,0.03630793865891827,0.9277518750168383,0.6146428571428572,False
4,rbf_svr,rbf_svr_C_300_gamma_0p00075_eps_0.03,,300.0,0.00075,0.03,0.003254402032982977,0.03717987270965591,0.7652506669983268,0.495,False
4,rbf_svr,rbf_svr_C_300_gamma_0p00075_eps_0.04,,300.0,0.00075,0.04,0.0032206892843572948,0.03843573954382806,0.6433969999779947,0.39130952380952383,False
4,rbf_svr,rbf_svr_C_300_gamma_0p001_eps_0.02,,300.0,0.001,0.02,0.003087442274532741,0.03493868075083337,1.1285371250123717,0.6070238095238095,False
4,rbf_svr,rbf_svr_C_300_gamma_0p001_eps_0.03,,300.0,0.001,0.03,0.003006423603220632,0.035635843137149965,0.978639499982819,0.4832142857142857,False
4,rbf_svr,rbf_svr_C_300_gamma_0p001_eps_0.04,,300.0,0.001,0.04,0.003041532491607875,0.03708012925660863,0.7899114589672536,0.3830952380952381,False
4,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.02,,300.0,0.003,0.02,0.0027954849594511977,0.03250698994730689,2.8891838749987073,0.601547619047619,False
4,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.03,,300.0,0.003,0.03,0.0027321324023827885,0.032830717621824455,2.381385874992702,0.47,False
4,rbf_svr,rbf_svr_C_300_gamma_0p003_eps_0.04,,300.0,0.003,0.04,0.0027082045132712264,0.033939981540373684,1.6004716659663245,0.3692857142857143,False
4,rbf_svr,rbf_svr_C_300_gamma_0p01_eps_0.02,,300.0,0.01,0.02,0.0034273125203678114,0.03423817820668448,7.572254208032973,0.6305952380952381,False
4,rbf_svr,rbf_svr_C_300_gamma_0p01_eps_0.03,,300.0,0.01,0.03,0.0033561853219363207,0.03477441102407117,4.139995334029663,0.4969047619047619,False
4,rbf_svr,rbf_svr_C_300_gamma_0p01_eps_0.04,,300.0,0.01,0.04,0.003158966608120041,0.035164625275041585,2.21630908298539,0.3969047619047619,False
4,rbf_svr,rbf_svr_C_500_gamma_0p0005_eps_0.02,,500.0,0.0005,0.02,0.0034154425559782433,0.03678009493249705,1.0694760829792358,0.6197619047619047,False
4,rbf_svr,rbf_svr_C_500_gamma_0p0005_eps_0.03,,500.0,0.0005,0.03,0.003325256606485473,0.037621746104836276,0.8763857500161976,0.5003571428571428,False
4,rbf_svr,rbf_svr_C_500_gamma_0p0005_eps_0.04,,500.0,0.0005,0.04,0.003292614054213026,0.0388363415980676,0.7191332919755951,0.3983333333333333,False
4,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.02,,500.0,0.00075,0.02,0.0030776661110417584,0.03481741289091429,1.361627625010442,0.6061904761904762,False
4,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.03,,500.0,0.00075,0.03,0.0030164294083590824,0.03573521990462195,1.1805548330303282,0.4875,False
4,rbf_svr,rbf_svr_C_500_gamma_0p00075_eps_0.04,,500.0,0.00075,0.04,0.0030172449638419035,0.03686039811604959,0.9537242500227876,0.38107142857142856,False
4,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.02,,500.0,0.001,0.02,0.0028865262491192694,0.03369561224386115,1.9171474589966238,0.6057142857142858,False
4,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.03,,500.0,0.001,0.03,0.002839409661113234,0.03440957546148186,1.5261410829843953,0.47869047619047617,False
4,rbf_svr,rbf_svr_C_500_gamma_0p001_eps_0.04,,500.0,0.001,0.04,0.0028978785546959784,0.03584797310770376,1.1412377079832368,0.37452380952380954,False
