seed,storey,base_prediction,learned_upward_correction
7,2,0.25,0.02029588822799098
7,2,0.3,0.02029588822799098
7,2,0.35,0.02029588822799098
7,2,0.4,0.02029588822799098
7,3,0.0,0.0
7,3,0.025,0.0
7,3,0.05,0.0
7,3,0.075,0.0
7,3,0.1,0.008141494790986985
7,3,0.125,0.008141494790986985
7,3,0.15,0.011251578791806332
7,3,0.175,0.011251578791806332
7,3,0.2,0.011251578791806332
7,3,0.225,0.011251578791806332
7,3,0.25,0.011251578791806332
7,3,0.3,0.011251578791806332
7,3,0.35,0.011251578791806332
7,3,0.4,0.011251578791806332
7,4,0.0,0.0
7,4,0.025,0.0
7,4,0.05,0.0
7,4,0.075,0.0
7,4,0.1,0.004425334644390201
7,4,0.125,0.00716401565070043
7,4,0.15,0.00716401565070043
7,4,0.175,0.009096942246413912
7,4,0.2,0.009096942246413912
7,4,0.225,0.009096942246413912
7,4,0.25,0.009096942246413912
7,4,0.3,0.009096942246413912
7,4,0.35,0.009096942246413912
7,4,0.4,0.009096942246413912
8,1,0.0,0.0
8,1,0.025,0.0
8,1,0.05,0.0
8,1,0.075,0.008913903612892538
8,1,0.1,0.04019511788718846
8,1,0.125,0.04019511788718846
8,1,0.15,0.04019511788718846
8,1,0.175,0.04019511788718846
8,1,0.2,0.04019511788718846
8,1,0.225,0.04019511788718846
8,1,0.25,0.04019511788718846
8,1,0.3,0.04019511788718846
8,1,0.35,0.04019511788718846
8,1,0.4,0.04019511788718846
8,2,0.0,0.0
8,2,0.025,0.0
8,2,0.05,0.0
8,2,0.075,0.0
8,2,0.1,0.0004802730776145599
8,2,0.125,0.024249122016560938
8,2,0.15,0.0254987622809866
8,2,0.175,0.0254987622809866
8,2,0.2,0.0254987622809866
8,2,0.225,0.0254987622809866
8,2,0.25,0.0254987622809866
8,2,0.3,0.0254987622809866
8,2,0.35,0.0254987622809866
8,2,0.4,0.0254987622809866
8,3,0.0,0.0
8,3,0.025,0.0
8,3,0.05,0.0
8,3,0.075,0.0
8,3,0.1,0.010356919550423057
8,3,0.125,0.010749329174099419
8,3,0.15,0.010749329174099419
8,3,0.175,0.013491524248524981
8,3,0.2,0.013491524248524981
8,3,0.225,0.013491524248524981
8,3,0.25,0.013491524248524981
8,3,0.3,0.013491524248524981
8,3,0.35,0.013491524248524981
8,3,0.4,0.013491524248524981
8,4,0.0,0.0
8,4,0.025,0.0
8,4,0.05,0.0
8,4,0.075,0.0
8,4,0.1,0.0
8,4,0.125,0.015806848896254146
8,4,0.15,0.015806848896254146
8,4,0.175,0.015806848896254146
8,4,0.2,0.015806848896254146
8,4,0.225,0.015806848896254146
8,4,0.25,0.015806848896254146
8,4,0.3,0.015806848896254146
8,4,0.35,0.015806848896254146
8,4,0.4,0.015806848896254146
9,1,0.0,0.0
9,1,0.025,0.0
9,1,0.05,0.0
9,1,0.075,0.007066199967726671
9,1,0.1,0.013916235034097288
