seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
1,oracle_full,rbf_svr_C_1000_gamma_0p001_eps_0.03,1000.0,0.001,0.03,0.0018005018840867404,0.025096334815662775,3.188169040950015,0.35214285714285715,False
1,oracle_full,rbf_svr_C_1000_gamma_0p001_eps_0.04,1000.0,0.001,0.04,0.0019724858686587464,0.027268619748885524,2.095114750030916,0.27964285714285714,False
1,oracle_full,rbf_svr_C_1000_gamma_0p003_eps_0.02,1000.0,0.003,0.02,0.0016738396799294876,0.023431370052868834,9.00869883300038,0.4975,False
1,oracle_full,rbf_svr_C_1000_gamma_0p003_eps_0.03,1000.0,0.003,0.03,0.001784378497777715,0.025045142474981377,3.9715891249943525,0.37761904761904763,False
1,oracle_full,rbf_svr_C_1000_gamma_0p003_eps_0.04,1000.0,0.003,0.04,0.0019108155126062638,0.026927666118464227,2.3232527910149656,0.3003571428571429,False
1,oracle_full,rbf_svr_C_1000_gamma_0p01_eps_0.02,1000.0,0.01,0.02,0.0021287878819934267,0.027016511074074868,4.797363791964017,0.5477380952380952,False
1,oracle_full,rbf_svr_C_1000_gamma_0p01_eps_0.03,1000.0,0.01,0.03,0.002309916275398503,0.02964470481822605,2.2480752499541268,0.4269047619047619,False
1,oracle_full,rbf_svr_C_1000_gamma_0p01_eps_0.04,1000.0,0.01,0.04,0.0025577525116442326,0.032887927690393316,1.3377800839953125,0.35095238095238096,False
2,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.02,100.0,0.0005,0.02,0.003253317248525871,0.03396496143657786,0.4287615420180373,0.5619047619047619,False
2,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.03,100.0,0.0005,0.03,0.003239601600579186,0.03602595820955712,0.39239191700471565,0.45571428571428574,False
2,oracle_full,rbf_svr_C_100_gamma_0p0005_eps_0.04,100.0,0.0005,0.04,0.0032963117375068673,0.03878456040036066,0.34954683302203193,0.38357142857142856,False
2,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.02,100.0,0.00075,0.02,0.0027852866253338967,0.0309443114085147,0.5803931669797748,0.5314285714285715,False
2,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.03,100.0,0.00075,0.03,0.0028376392925171965,0.0328803134966521,0.4416015419992618,0.4213095238095238,False
2,oracle_full,rbf_svr_C_100_gamma_0p00075_eps_0.04,100.0,0.00075,0.04,0.002936400267058193,0.035560604825938875,0.37669120798818767,0.34833333333333333,False
2,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.02,100.0,0.001,0.02,0.0025485154919076968,0.02932759503352983,0.6416509170085192,0.5135714285714286,False
2,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.03,100.0,0.001,0.03,0.0025922768544437663,0.031269862750723625,0.5063330829725601,0.4035714285714286,False
2,oracle_full,rbf_svr_C_100_gamma_0p001_eps_0.04,100.0,0.001,0.04,0.002708129644448764,0.033853921713560886,0.4036366249783896,0.33071428571428574,False
2,oracle_full,rbf_svr_C_100_gamma_0p003_eps_0.02,100.0,0.003,0.02,0.0018764238251769152,0.025600423495556867,1.2772838340024464,0.48857142857142855,False
