case_id,noise_level,noise_percent,replicate,descriptor_shift_l2,descriptor_shift_l1,standard_case_mae,standard_case_mae_change,calibrated_case_mae,calibrated_case_mae_change
140,0.2,20,2,0.19340181493487982,0.10681317680536576,0.386225421003426,0.38448567358176977,0.3948483485261744,0.3887165465993437
428,0.2,20,2,0.2754370608953594,0.1386599291768839,0.301954295057922,0.2949762314656629,0.3105772225806704,0.3035991589884113
287,0.2,20,2,0.25436104248309127,0.11670648426344435,0.25209291080021984,0.23032429992368184,0.26134550090683806,0.24010905921817347
1127,0.2,20,2,2.3288830258332704,1.1985425388866675,0.2310739539413882,0.18274735334468378,0.23593836735531534,0.1920038212637854
2197,0.2,20,2,0.3247940316298958,0.1482482792906191,0.2198066425523335,0.18746693558392533,0.23154374648684925,0.20293064121213603
2188,0.2,20,2,0.2809894993894674,0.14799154496250483,0.45532464829504765,0.42547382252078897,0.45532464829504765,0.42108176801561453
822,0.2,20,2,0.3163488626019032,0.1498898219579663,0.3144489720888694,0.3055142709038956,0.3144489720888694,0.3103786843178228
100,0.2,20,2,0.20909380127845445,0.09563522591446745,0.275906706412836,0.2688117423798226,0.2903244669742679,0.2832295029412545
26,0.2,20,2,0.3973870531304454,0.23236707093317785,0.38418730871553536,0.36399285406226917,0.38418730871553536,0.36399285406226917
903,0.2,20,2,0.23743516363481626,0.1316287550789543,0.27231806722519475,0.2483397984829355,0.2809409947479432,0.2511678929670005
1803,0.2,20,2,0.2867302270506362,0.13952801728208253,0.37485967101924517,0.3466718746600227,0.37485967101924517,0.3385213060460269
2594,0.2,20,2,0.252871256075471,0.12446547945871196,0.2226446920181072,0.20537389577680215,0.2226446920181072,0.21492724292430687
2397,0.2,20,2,0.26857072141532656,0.1269419589881126,0.2849856867866986,0.2664044072041206,0.29940344734813046,0.2782388611166601
16,0.2,20,2,0.24195909069168503,0.11363291921981468,0.27413741623329146,0.2685912818470176,0.27413741623329146,0.26797598597696787
2444,0.2,20,2,0.2102132166886368,0.09932596007011797,0.20005009742089802,0.1896281775145083,0.21446785798232987,0.2067511137010971
942,0.2,20,2,0.2342306662235645,0.12414314484665234,0.33506281202166793,0.3227261109388398,0.34368573954441634,0.3313490384615882
304,0.2,20,2,0.2089004562171613,0.09077997444551568,0.22453457532327792,0.2220707273678662,0.23895233588470982,0.2364884879292981
1577,0.2,20,2,0.3473404571125231,0.17780658126202029,0.2688063624360481,0.23208814914992476,0.2774292899587965,0.2508979642165311
2134,0.2,20,2,0.9058322235822628,0.5258911580144215,0.48049189769634765,0.41623349917233377,0.48628673073503115,0.42202833221101727
2199,0.2,20,2,0.5489448709518794,0.2812325610612415,0.3976572737521847,0.38251201586259853,0.4020493282573592,0.3826151535468379
256,0.2,20,2,0.24190883805396482,0.1167540472401252,0.3751278176230027,0.35916531819232356,0.3751278176230027,0.3510147495783278
2719,0.2,20,2,1.1611405748756207,0.6293495066467484,0.4566083044911581,0.3892251982902008,0.4614727179050852,0.3935574425162545
2463,0.2,20,2,0.3228041293156957,0.17799584984189698,0.2544533456317282,0.1986300963666368,0.2630762731544766,0.20145819085070177
2296,0.2,20,2,0.40395573982071625,0.17911541886255636,0.3545267549651762,0.3486232513792469,0.369616156135558,0.35932059804445415
