noise_level,noise_percent,feature_index,feature_name,n_replicates,signed_mean_delta_z_mean,signed_mean_delta_z_std,mean_abs_delta_z_mean,mean_abs_delta_z_std,median_abs_delta_z_mean,median_abs_delta_z_std,rms_delta_z_mean,rms_delta_z_std,p95_abs_delta_z_mean,p95_abs_delta_z_std,fraction_abs_delta_z_gt_1_mean,fraction_abs_delta_z_gt_1_std,fraction_abs_delta_z_gt_2_mean,fraction_abs_delta_z_gt_2_std,rank_by_mean_abs_shift
0.05,5,50,story_2_max_abs_spatial_fraction,5,0.034939690109338964,0.003123636485018489,0.09097972610386851,0.001317726335150589,0.07371704755604438,0.0028442015868062323,0.11604292000951574,0.0021152023808147357,0.23280826656173903,0.011325613237915491,0.0,0.0,0.0,0.0,17
0.05,5,11,story_2_crest_factor,5,0.0729816407449508,0.0010245475738052444,0.08973617602646052,0.001809880694390427,0.08278895779932238,0.0023133951015415414,0.10852083139158626,0.0018593346925397597,0.20087044659061998,0.00871307384766798,0.0,0.0,0.0,0.0,18
0.05,5,69,story_4_spectral_centroid,5,0.08204123737290929,0.0017326490056419467,0.08248200098702912,0.0016192796575588352,0.06833881914489517,0.0026768037265860168,0.10307452698999016,0.001902855936658941,0.21299370824148411,0.008524175708537895,0.0,0.0,0.0,0.0,19
0.05,5,46,story_4_to_story_3_max_abs_ratio,5,-0.03796025107178298,0.006260593687025348,0.07493216433690261,0.003873466461846385,0.05376527523180533,0.003871713166146903,0.10457600141589005,0.004660649674593185,0.21739666594134266,0.01594949930408316,0.0,0.0,0.0,0.0,20
0.05,5,44,story_3_to_story_2_max_abs_ratio,5,-0.02595439356766338,0.001761177112086166,0.06583867775923,0.0012021292571804424,0.05047578702459756,0.0027463364839074413,0.08928934142202813,0.002902713245826772,0.18152370636496573,0.0063044723417684115,0.0,0.0,0.0,0.0,21
0.05,5,6,story_2_mean,5,0.004923464625173081,0.009719168280412088,0.06495201856010437,0.004520685667716053,0.02559212628782363,0.0020440747787631346,0.14003673562100455,0.022641780062168444,0.2741035870608596,0.04143334827517883,0.0017777777777777779,0.0018592445034090568,0.0,0.0,22
0.05,5,48,story_1_max_abs_spatial_fraction,5,0.018340521828985257,0.002612959869776209,0.05561817872972954,0.0008658760431528765,0.04322389665724102,0.0019983258915785462,0.07219377445113245,0.0013234231753522633,0.15263896593827303,0.003239481737019952,0.0,0.0,0.0,0.0,23
0.05,5,52,story_3_max_abs_spatial_fraction,5,-0.00028643629032847306,0.002723871710998098,0.04638916455426474,0.0008800719129680862,0.03784912299983979,0.0027615826139814567,0.05880937406613187,0.001288348038588339,0.11549878322637719,0.005481976809467457,0.0,0.0,0.0,0.0,24
0.05,5,12,story_3_mean,5,0.00048306602136831964,0.0037956640453354236,0.044505273912955286,0.003269831620100826,0.019231088177460023,0.0009389168765604944,0.09120161829200726,0.010752250217768976,0.18216477047799412,0.030163345131017386,0.0,0.0,0.0,0.0,25
0.05,5,28,story_2_max_ground_amplification,5,0.0427715125631017,0.0005499678605644872,0.04433818066077232,0.0005472345385301579,0.01530067645295945,0.0007210517305282746,0.0874906535573206,0.001609569534119387,0.2310935456397095,0.014750016417703444,0.0,0.0,0.0,0.0,26
0.05,5,8,story_2_max_abs,5,0.041889787938481235,0.0004214133928380351,0.04340103590697183,0.00042320536001518895,0.013186083210496724,0.0005636303269663291,0.09262635343716125,0.0017656113276754107,0.2190325312011369,0.008798852507901545,0.0,0.0,0.0,0.0,27
0.05,5,18,story_4_mean,5,-0.003959310374969096,0.003330811063040452,0.03968796366745294,0.0019369185560342932,0.014812376119963572,0.0007915261666232219,0.08890069312708261,0.011815129281923575,0.16453606521157732,0.010062912629468465,0.00044444444444444447,0.0009938079899999067,0.0,0.0,28
0.05,5,10,story_2_peak_to_peak,5,0.03883359641326445,0.0003292726718637134,0.039165166935081076,0.00031384080887329237,0.012705908796775935,0.00044522442320230917,0.08077678431673763,0.0011873201330817617,0.19140815349334314,0.004099107988361972,0.0,0.0,0.0,0.0,29
0.05,5,41,story_4_relative_to_lower_rms,5,0.03251714327436333,0.000425723938736258,0.032533690889326186,0.0004308329852782357,0.007290580500793349,0.0003764432984590259,0.06578605613260416,0.0016608088922071907,0.1555812595113078,0.011058750831814389,0.0,0.0,0.0,0.0,30
0.05,5,30,story_3_max_ground_amplification,5,0.02644592963436727,0.0006749648665985001,0.0269535770729395,0.0007207498323328283,0.01005364067636048,0.00034386002371826263,0.052262524219045446,0.0017299938934400231,0.1310272388877677,0.004838945525540331,0.0,0.0,0.0,0.0,31
0.05,5,77,story_4_story_3_correlation,5,-0.026678104699472165,0.0005388578432748238,0.026687148347278172,0.0005387267188612081,0.01698156664569963,0.00017888518525136638,0.033366026082702685,0.0012600769488690354,0.0702107815200875,0.003494807925328669,0.0,0.0,0.0,0.0,32
0.05,5,14,story_3_max_abs,5,0.026195510635538037,0.0008062245352325301,0.02667055791973023,0.0008993799584306861,0.00885851818355005,0.0005009319265651725,0.05601609090520301,0.002761719583593737,0.12494560165076822,0.0059474619778696535,0.0,0.0,0.0,0.0,33
0.05,5,16,story_3_peak_to_peak,5,0.023837327697895528,0.0007079561223482714,0.023966429118963857,0.0007570869637687664,0.00900304392371147,0.00014245948004309384,0.048114958201795704,0.0025211106894162303,0.1077367273961803,0.006170021694570108,0.0,0.0,0.0,0.0,34
0.05,5,32,story_4_max_ground_amplification,5,0.020968791986024804,0.0008654400114177562,0.021355891757017288,0.0007950271742219798,0.007455624922330621,0.00018857342090121849,0.0421076759444108,0.00246407615363612,0.10872674999429699,0.005184304424783333,0.0,0.0,0.0,0.0,35
0.05,5,20,story_4_max_abs,5,0.020839095123361843,0.000738530771432766,0.021191195436113412,0.0006865940116662792,0.006375726926664047,0.000208271448337346,0.045381523800865596,0.0025686211419576077,0.09733898125309293,0.004849646522169748,0.0,0.0,0.0,0.0,36
0.05,5,22,story_4_peak_to_peak,5,0.018705964987142963,0.0006319487111065847,0.01879229783720359,0.000615853900682887,0.006433652421672782,0.0004580435861409184,0.03866990512288141,0.0020667552820375743,0.08355855749747296,0.0035420391201953613,0.0,0.0,0.0,0.0,37
0.05,5,43,story_2_to_story_1_rms_ratio,5,-0.013563267454893179,0.00015766957933041772,0.015741645947292587,0.00010478306873348847,0.002529287798415909,0.00014133834484238885,0.03974887425273908,0.00028644690943469334,0.10847061790769301,0.009717286384520891,0.0,0.0,0.0,0.0,38
0.05,5,75,story_2_story_1_correlation,5,-0.013229504613788823,0.00024765813220147025,0.015528367483050694,0.00029237912982055063,0.009742309345773,0.00036418898048438286,0.023530362759489463,0.000391536431147216,0.0603887704102796,0.0014322197274155126,0.0,0.0,0.0,0.0,39
0.05,5,39,story_3_relative_to_lower_rms,5,0.013074025791450006,0.00040095444955367827,0.013104903423068706,0.00039716764207693115,0.0034877222610512717,0.00014644404796679001,0.02632762016006431,0.0012723862958136933,0.05781247877184863,0.0014228120188885863,0.0,0.0,0.0,0.0,40
0.05,5,55,story_4_rms_spatial_fraction,5,-0.011661272197762178,0.00024441468929858336,0.012141740076207191,0.00021733808641223536,0.010848756451030067,0.000291454136859255,0.01450961745422984,0.00020843486634643238,0.02679102651794295,0.0007078713681763712,0.0,0.0,0.0,0.0,41
0.05,5,35,story_1_relative_to_lower_rms,5,0.01174846016091802,0.00013456283853777425,0.01174852614067371,0.00013455541119282256,0.005512381466938298,0.00014027401614803762,0.021019324325978573,0.00038863859090720925,0.04455059985708161,0.0014921616137854577,0.0,0.0,0.0,0.0,42
0.05,5,71,story_1_ground_correlation,5,-0.006097630804410599,0.00012687337089121762,0.010390519631051356,7.048891171201881e-05,0.0058763565351860995,0.00022245866606154457,0.01556097046787976,0.00010820219588203353,0.03679226066016858,0.0004775471525527562,0.0,0.0,0.0,0.0,43
0.05,5,27,story_1_rms_ground_amplification,5,0.010265098556146055,7.914118405751197e-05,0.01037196788460054,8.743286450163635e-05,0.002636072456032215,0.00016341710494385112,0.020502385834880652,0.00034630076340224004,0.053122557311861954,0.0018318603066681284,0.0,0.0,0.0,0.0,44
0.05,5,37,story_2_relative_to_lower_rms,5,0.00953118348583854,0.00029930727432730763,0.009537674709678015,0.00029543539628453707,0.0034681679008891826,0.00010442728073411889,0.018050344565508258,0.0005896091062250174,0.03966308235858304,0.002217008734241754,0.0,0.0,0.0,0.0,45
0.05,5,3,story_1_rms,5,0.009421085438184675,0.00011367952149598128,0.009513668410690873,0.0001141677503257747,0.0022183709560418844,0.00011727664409816832,0.020384010778546985,0.0005724911628337952,0.04728643870504252,0.0031611288291517247,0.0,0.0,0.0,0.0,46
0.05,5,1,story_1_std,5,0.009416991111064489,0.00011445371479831086,0.00950969846126006,0.00011472357791829569,0.0022244955976255935,0.00011752803791186466,0.020374207756773087,0.0005722313125220967,0.04726203849553464,0.003108421475197319,0.0,0.0,0.0,0.0,47
0.05,5,47,story_4_to_story_3_rms_ratio,5,-0.008047077930379096,0.00042010929376361705,0.008899221478082014,0.00043272048763961265,0.0028359321665667224,0.00010613953381937803,0.018332786155231373,0.001529185347365686,0.0419308171894179,0.0029209215277959852,0.0,0.0,0.0,0.0,48
