noise_level,noise_percent,replicate,feature_index,feature_name,signed_mean_delta_z,mean_abs_delta_z,median_abs_delta_z,rms_delta_z,p95_abs_delta_z,fraction_abs_delta_z_gt_1,fraction_abs_delta_z_gt_2
0.05,5,0,32,story_4_max_ground_amplification,0.02242126494293979,0.022645394270074233,0.007550142163607998,0.04640512677778876,0.1063988163521869,0.0,0.0
0.05,5,0,33,story_4_rms_ground_amplification,0.0005327329432295765,0.000659469371312275,0.0003169078116787576,0.0011911905326137384,0.002886176078963289,0.0,0.0
0.05,5,0,34,story_1_relative_to_lower_max_abs,0.12598043758269917,0.1343773720542405,0.03650170000654041,0.30366254526819847,0.6996670300856739,0.022222222222222223,0.0
0.05,5,0,35,story_1_relative_to_lower_rms,0.011621726575699973,0.011621726575699973,0.005648968215304482,0.02048286147716082,0.04365028991918288,0.0,0.0
0.05,5,0,36,story_2_relative_to_lower_max_abs,0.12492994888576417,0.12551236686990352,0.03665596295972576,0.25976875116910564,0.6227913950662685,0.022222222222222223,0.0
0.05,5,0,37,story_2_relative_to_lower_rms,0.009523434771203093,0.00952947429188179,0.0035792910400211874,0.017839362849661016,0.041263051360413715,0.0,0.0
0.05,5,0,38,story_3_relative_to_lower_max_abs,0.16045506881236846,0.16158401746056128,0.04288075070730406,0.3460121763949866,0.8272722113798432,0.035555555555555556,0.0022222222222222222
0.05,5,0,39,story_3_relative_to_lower_rms,0.013328661085723092,0.013357980022484443,0.0032333034441491887,0.02779851175911494,0.058317861640085025,0.0,0.0
0.05,5,0,40,story_4_relative_to_lower_max_abs,0.2504473419571511,0.25304389628824797,0.06550591373472728,0.5578391630533774,1.352199949892591,0.06888888888888889,0.02666666666666667
0.05,5,0,41,story_4_relative_to_lower_rms,0.0321902454563745,0.03219322425112582,0.0073255317174645024,0.06395963369193831,0.14405641175581338,0.0,0.0
0.05,5,0,42,story_2_to_story_1_max_abs_ratio,-0.07151481459863751,0.1038207467342737,0.03266087467357487,0.20868795086150593,0.5678992686697926,0.006666666666666667,0.0
0.05,5,0,43,story_2_to_story_1_rms_ratio,-0.013593663512163347,0.015820237470595102,0.0025967372100828847,0.040156908938962226,0.09758122456414715,0.0,0.0
0.05,5,0,44,story_3_to_story_2_max_abs_ratio,-0.02826591031571312,0.06594146745858956,0.04852469328317354,0.09004200467109069,0.18341990982704143,0.0,0.0
0.05,5,0,45,story_3_to_story_2_rms_ratio,-0.005909947855531309,0.00872587260809133,0.005341928741258519,0.012496952567192497,0.029114241838325543,0.0,0.0
0.05,5,0,46,story_4_to_story_3_max_abs_ratio,-0.027179860680005427,0.07019337742137384,0.048813733863198275,0.0977898625355932,0.20159127934214915,0.0,0.0
