method,noise_level,noise_percent,replicate,severity,n_entries,signed_bias,mae,rmse,underestimation_ratio,overestimation_ratio,equal_ratio
standard_svr,0.1,10,1,all,1800,0.09204763604767988,0.11161187912111908,0.1506797995643488,0.0961111111111111,0.7505555555555555,0.15333333333333332
standard_svr,0.1,10,1,zero,1245,0.1117046585843527,0.1117046585843527,0.1566666464487856,0.0,0.7783132530120482,0.2216867469879518
standard_svr,0.1,10,1,low,109,0.06464247743439346,0.10199790832171621,0.13280717952543022,0.3119266055045872,0.6880733944954128,0.0
standard_svr,0.1,10,1,medium,172,0.04716538439976121,0.11649058180644288,0.1410721051574936,0.3430232558139535,0.6569767441860465,0.0
standard_svr,0.1,10,1,high,274,0.04180645544232421,0.11195230073985406,0.1346061224794189,0.291970802919708,0.708029197080292,0.0
standard_svr,0.1,10,1,damaged,555,0.04795215306000838,0.11140375221710856,0.13629656422481023,0.3117117117117117,0.6882882882882883,0.0
standard_svr,0.1,10,2,all,1800,0.09392847743616597,0.11338330947050736,0.15187753308870108,0.0961111111111111,0.7427777777777778,0.16111111111111112
standard_svr,0.1,10,2,zero,1245,0.11377418725771968,0.11377418725771968,0.15835544057397816,0.0,0.7670682730923695,0.23293172690763053
standard_svr,0.1,10,2,low,109,0.06002972556215684,0.10073087706399593,0.13237634822495262,0.3486238532110092,0.6513761467889908,0.0
standard_svr,0.1,10,2,medium,172,0.0436916307848869,0.11526654824160253,0.13919579525057413,0.3372093023255814,0.6627906976744186,0.0
standard_svr,0.1,10,2,high,274,0.04877443674438728,0.1154583285165002,0.135858938314349,0.28102189781021897,0.718978102189781,0.0
standard_svr,0.1,10,2,damaged,555,0.04940972297159956,0.11250647551540945,0.13623005437193805,0.3117117117117117,0.6882882882882883,0.0
standard_svr,0.1,10,3,all,1800,0.09155075281879985,0.11173891427058344,0.1502995355587611,0.10333333333333333,0.7316666666666667,0.165
standard_svr,0.1,10,3,zero,1245,0.11192846194954685,0.11192846194954685,0.15603727545732315,0.0,0.7614457831325301,0.2385542168674699
standard_svr,0.1,10,3,low,109,0.06982477374874134,0.10623752960699681,0.1380459497168723,0.3669724770642202,0.6330275229357798,0.0
standard_svr,0.1,10,3,medium,172,0.040277120928977346,0.11340447801535308,0.13842305389954085,0.36046511627906974,0.6395348837209303,0.0
standard_svr,0.1,10,3,high,274,0.03978779127101083,0.11202061902941975,0.13476458403574654,0.30656934306569344,0.6934306569343066,0.0
standard_svr,0.1,10,3,damaged,555,0.04583859449847545,0.11131371272047638,0.1365541815181618,0.33513513513513515,0.6648648648648648,0.0
standard_svr,0.1,10,4,all,1800,0.09017373239050427,0.11088803611791997,0.14980273987728837,0.10166666666666667,0.7355555555555555,0.16277777777777777
standard_svr,0.1,10,4,zero,1245,0.11121717610939615,0.11121717610939615,0.15581289188257924,0.0,0.7646586345381526,0.2353413654618474
standard_svr,0.1,10,4,low,109,0.06528407503805742,0.10485740059270686,0.13794997973900255,0.3486238532110092,0.6513761467889908,0.0
standard_svr,0.1,10,4,medium,172,0.0336568238935009,0.10525644310473918,0.12942857248892342,0.36046511627906974,0.6395348837209303,0.0
standard_svr,0.1,10,4,high,274,0.03993575240101844,0.11532670028261875,0.13792350674019732,0.3029197080291971,0.6970802919708029,0.0
standard_svr,0.1,10,4,damaged,555,0.042968169453530575,0.11014969505595987,0.13535316677708709,0.32972972972972975,0.6702702702702703,0.0
