seed,metric,78d_ridge,78d_svr,92d_ridge,92d_svr,information_effect_under_ridge,information_effect_under_svr,model_effect_on_78d,model_effect_on_92d,interaction_difference_in_differences,information_improvement_ridge_percent,information_improvement_svr_percent,model_improvement_78d_percent,model_improvement_92d_percent
2,high_damage_underestimation_ratio,0.8722627737226277,0.7627737226277372,0.8065693430656934,0.6861313868613139,-0.06569343065693434,-0.07664233576642332,-0.10948905109489049,-0.12043795620437947,-0.010948905109488982,7.5313807531380785,10.04784688995215,12.552301255230121,14.932126696832567
3,test_mae,0.0437956552828747,0.0303918522066228,0.03925760976738265,0.0229078705429024,-0.004538045515492049,-0.007483981663720399,-0.0134038030762519,-0.01634973922448025,-0.0029459361482283494,10.361862349543493,24.62496070604587,30.60532600705978,41.64731200233311
3,test_rmse,0.0624534837679155,0.049508751024531,0.05801907798055832,0.041783676415245,-0.004434405787357182,-0.007725074609286002,-0.0129447327433845,-0.01623540156531332,-0.00329066882192882,7.100333752134558,15.603452822831906,20.726998659496164,27.98286724024408
3,damaged_entry_mae,0.0705984227319971,0.050597743155434,0.06343017227970438,0.0392010902204259,-0.007168250452292718,-0.011396652935008099,-0.020000679576563096,-0.024229082059278477,-0.004228402482715381,10.153556092187136,22.5240341253919,28.330207393568656,38.198039179898316
3,zero_damage_mae,0.0325803128750858,0.0219369049301698,0.02914284956719129,0.0160901403232295,-0.0034374633078945137,-0.0058467646069402975,-0.010643407944916004,-0.013052709243961787,-0.0024093012990457838,10.550737560667029,26.65264140749067,32.66821895088376,44.78871983286216
3,high_damage_mae,0.0931631058746048,0.0635824540694144,0.08393330452343341,0.0473361402488756,-0.009229801351171393,-0.016246313820538802,-0.0295806518051904,-0.03659716427455781,-0.007016512469367409,9.907142172347145,25.551567737228787,31.751465912917514,43.60267295843239
3,high_damage_abs_bias,0.0847171622553306,0.0495120299264992,0.07092196014582676,0.0307312307992153,-0.013795202109503843,-0.018780799127283903,-0.0352051323288314,-0.040190729346611456,-0.00498559701778006,16.28383404525075,37.93178981989644,41.55608071800848,56.66894888969928
3,high_damage_underestimation_ratio,0.897887323943662,0.7394366197183099,0.823943661971831,0.6901408450704225,-0.073943661971831,-0.04929577464788737,-0.15845070422535212,-0.1338028169014085,0.02464788732394363,8.23529411764706,6.666666666666672,17.647058823529413,16.239316239316246
4,test_mae,0.0465095760389508,0.0333982868529789,0.040740727204069876,0.0242895988779692,-0.005768848834880921,-0.009108687975009702,-0.013111289185971896,-0.016451128326100677,-0.003339839140128781,12.403572180597026,27.27291976114418,28.19051537900811,40.38005567180269
4,test_rmse,0.0659072204644412,0.0515730705770192,0.05995497981954604,0.0415363356755805,-0.005952240644895156,-0.0100367349014387,-0.014334149887421994,-0.01841864414396554,-0.004084494256543544,9.031242105114352,19.461193194711658,21.748982564293804,30.720791165975577
4,damaged_entry_mae,0.0723793801572405,0.0534723533532734,0.0647082363362589,0.0422920135749637,-0.007671143820981607,-0.011180339778309699,-0.01890702680396711,-0.0224162227612952,-0.0035091959573280915,10.598521021203053,20.90863610293164,26.122117601577354,34.64199309158793
