noise_level,noise_percent,tag,feature_set,model,test_mae,source_table,test_rmse,n_features,mae_on_damaged_entries,mean_prediction_on_zero_entries,config_label
0.05,5.0,debug_noise_005_1000,no_meta,random_forest,0.0703762559375339,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0886190763712966,86,0.1167899994406566,0.050798894933847,no_meta + random_forest
0.05,5.0,debug_noise_005_1000,physics_no_meta_core,random_forest,0.0703762559375339,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0886190763712966,86,0.1167899994406565,0.050798894933847,physics_no_meta_core + random_forest
0.05,5.0,debug_noise_005_1000,full,random_forest,0.0706102935005739,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0889044647840743,92,0.1165466555363451,0.0512342924523102,full + random_forest
0.05,5.0,debug_noise_005_1000,response_frequency,random_forest,0.074547663018177,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0942028676414542,75,0.1248077129673319,0.0533479263097657,response_frequency + random_forest
0.05,5.0,debug_noise_005_1000,response_spatial,random_forest,0.0750747108889755,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0948068631509985,64,0.1280314493451734,0.0527375084121906,response_spatial + random_forest
0.05,5.0,debug_noise_005_1000,response_basic_only,random_forest,0.0759202923045224,results/tables/physics_ablation/debug_noise_005_1000/ablation_model_comparison_fixed.csv,0.0956732422184066,52,0.1289982503202064,0.0535319593026462,response_basic_only + random_forest
0.1,10.0,debug_noise_010_1000,full,ridge,0.0394483473342642,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0591805641752405,92,0.0633879116081559,0.0289424953867289,full + ridge
0.1,10.0,debug_noise_010_1000,no_meta,ridge,0.0434859099412053,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0619536491813502,86,0.066321221788382,0.0334646579794946,no_meta + ridge
0.1,10.0,debug_noise_010_1000,physics_no_meta_core,ridge,0.0434859099412053,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0619536491813502,86,0.066321221788382,0.0334646579794946,physics_no_meta_core + ridge
0.1,10.0,debug_noise_010_1000,full,elasticnet,0.0490660415806711,results/tables/physics_ablation/debug_noise_010_1000/ablation_model_comparison_fixed.csv,0.0682710673132527,92,0.0786076537986227,0.0361017369382606,full + elasticnet
